GR
B
A
B
C
B
C
A
B
A
B
B
B
A
A
C
B
B
A
A
B
B
A
B
B
B
A
C
A
B
C
A
B
B
B
A
A
A
B
B
B
B
A
A
A
C
A
B
B
A
B
B
B
A
A
A
B
A
B
C
A
A
A
B
C
B
A
A
B
A
B
C
A
A
C
A
B
C
A
B
A
